Make,Model,Variant,Transmission,Fuel Type,Price_numeric,Distance_numeric,Age,City
Kia,Seltos [2019-2022],GTX Plus 1.4,Manual,Petrol,1633000,6000,1,Ahmedabad
Maruti Suzuki,S-Presso,VXi,Manual,Petrol,422400,71000,3,Ahmedabad
Maruti Suzuki,Baleno,Zeta MT,Manual,Petrol,751000,7000,2,Ahmedabad
Tata,Nexon [2017-2020],XM,Manual,Petrol,470100,53000,6,Ahmedabad
Maruti Suzuki,Celerio,VXi,Manual,Petrol,473000,24000,3,Ahmedabad
Skoda,Rapid [2014-2015],1.6 MPI Active,Manual,Petrol,649000,30000,3,Ahmedabad
Hyundai,Verna [2006-2010],i,Manual,Petrol,967000,62000,5,Ahmedabad
Toyota,Innova Crysta [2016-2020],2.8 GX AT 7 STR [2016-2020],Automatic,Diesel,1510000,86000,5,Ahmedabad
Tata,Safari [2021-2023],XM,Manual,Diesel,1510000,75000,2,Ahmedabad
Mahindra,XUV500,W11,Manual,Diesel,1315000,82000,5,Ahmedabad
Tata,Altroz,XM Rhytm Plus Style Petrol,Manual,Petrol,565200,39000,3,Ahmedabad
Ford,Aspire,Trend 1.2 Ti-VCT,Manual,Petrol,307600,53000,9,Ahmedabad
Hyundai,Verna [2006-2010],i,Manual,Petrol,291100,84000,9,Ahmedabad
Hyundai,Elite i20 [2014-2015],Asta 1.2,Manual,Petrol,297900,64000,10,Ahmedabad
Volkswagen,Taigun,Topline 1.0 TSI AT,Automatic (TC),Petrol,1297000,80000,2,Ahmedabad
Kia,Carens [2022-2023],Luxury Plus 1.5 Diesel 6 STR,Manual,Diesel,1391000,58000,2,Ahmedabad
Hyundai,Xcent,E,Manual,Petrol,431400,75000,7,Ahmedabad
Honda,WR-V [2017-2020],VX MT Petrol,Manual,Petrol,712000,44000,4,Ahmedabad
Hyundai,Creta [2015-2017],1.6 SX,Manual,Diesel,872000,80000,8,Ahmedabad
Hyundai,Creta [2015-2017],1.6 SX,Manual,Diesel,872000,80000,8,Bangalore
Hyundai,Creta [2015-2017],1.6 SX,Manual,Diesel,872000,80000,8,Chennai
Honda,Amaze [2013-2016],1.5 E i-DTEC,Manual,Diesel,249100,70000,10,Ahmedabad
Audi,A4 [2013-2016],2.0 TDI (143bhp),Automatic,Diesel,1610000,65000,9,Ahmedabad
Honda,Jazz [2011-2013],S,Manual,Petrol,448400,62000,7,Ahmedabad
Maruti Suzuki,Ciaz [2014-2017],VDi (O) SHVS,Manual,Diesel,475200,70000,9,Ahmedabad
Hyundai,i20 [2008-2010],Asta 1.2,Manual,Petrol,269700,91000,10,Ahmedabad
Hyundai,Creta [2017-2018],SX Plus 1.6  Petrol,Manual,Petrol,667100,87000,7,Ahmedabad
Hyundai,i20 [2008-2010],Sportz 1.2 BS-IV,Manual,Petrol,252000,56000,10,Ahmedabad
Tata,Harrier [2019-2023],XT,Manual,Diesel,1317000,39000,5,Ahmedabad
Toyota,Camry,Hybrid,Automatic (e-CVT),Hybrid (Electric + Petrol),1795000,48000,7,Ahmedabad
